St. Kitts and Nevis	0.06	0.42	0.46	0.48	0.463	0.501	0.543	0.636	0.684	0.735	0.709	0.692	0.728	0.732	0.787	0.852	0.889	0.93
St. Lucia	0.17	0.784	0.742	0.746	0.81	0.891	0.947	1.075	1.173	1.194	1.187	1.249	1.29	1.311	1.334	1.404	1.438	1.498
St. Vincent and the Grenadines	0.11	0.396	0.43	0.462	0.482	0.522	0.551	0.611	0.651	0.695	0.675	0.681	0.676	0.693	0.721	0.729	0.765	0.794
Sudan	37.289	12.257	13.182	14.803	17.645	21.457	26.524	35.82	45.897	54.526	53.145	65.622	67.22	62.647	66.598	74.766	84.331	85.222
Suriname	0.553	1.266	1.09	1.376	1.615	1.868	2.235	2.626	2.936	3.533	3.876	4.368	4.422	4.98	5.131	5.21	5.05	5.187
Swaziland	1.106	1.729	1.543	1.423	2.19	2.838	3.178	3.234	3.393	3.266	3.594	4.54	4.969	4.913	4.565	4.416	4.305	4.357
Sweden	9.747	259.839	239.957	263.94	331.109	381.743	389.043	420.017	487.818	513.966	429.656	488.378	563.11	543.881	579.526	570.591	483.724	499.179
Switzerland	8.14	271.861	278.823	301.337	352.375	393.116	407.611	429.432	477.797	552.4	541.042	580.764	696.544	665.225	685.168	703.852	676.979	687.591
Syria	n/a	19.861	20.979	22.758	21.702	25.204	28.881	33.824	40.488	52.631	53.939	60.043	n/a	n/a	n/a	n/a	n/a	n/a
Taiwan Province of China	23.434	331.407	300.223	308.883	318.364	348.407	375.787	388.547	408.221	417.038	392.106	446.141	485.671	495.919	511.279	529.597	518.816	540.073
Tajikistan	8.302	0.991	1.057	1.212	1.555	2.073	2.311	2.811	3.712	5.135	4.977	5.642	6.523	7.592	8.506	9.242	8.045	7.97
Tanzania	46.744	12.423	12.743	13.216	14.178	15.547	16.93	18.61	21.502	27.368	28.574	31.086	33.583	39.088	44.414	48.089	46.192	46.873
Thailand	68.657	126.392	120.297	134.301	152.281	172.895	189.318	221.759	262.943	291.383	281.575	340.924	370.608	397.472	420.167	404.824	373.536	393.019
Timor-Leste	1.231	0.447	0.496	0.486	0.506	1.106	1.85	2.684	2.905	4.433	3.318	4.069	5.788	6.807	5.596	4.97	4.231	3.939
Togo	6.998	1.299	1.334	1.481	1.677	1.94	2.117	2.221	2.527	3.174	3.171	3.179	3.759	3.918	4.352	4.594	4.152	4.499
Tonga	0.102	0.191	0.182	0.193	0.215	0.243	0.275	0.293	0.321	0.33	0.338	0.39	0.439	0.453	0.443	0.438	0.443	0.473
Trinidad and Tobago	1.351	8.154	8.825	9.008	11.305	13.28	15.982	18.369	21.642	27.87	19.175	21.038	24.41	24.581	27.257	28.874	27.668	28.321
Tunisia	10.998	21.473	22.066	23.142	27.454	31.184	32.272	34.377	38.91	44.855	43.614	44.054	45.951	45.239	46.995	48.633	44.272	44.584
Turkey	76.903	266.671	196.057	232.45	303.123	392.233	482.737	529.278	646.425	730.628	614.389	731.539	774.729	788.605	823.025	798.332	722.219	721.167
Turkmenistan	5.796	5.022	6.933	8.7	11.424	14.196	17.174	21.393	25.962	21.516	20.214	22.148	29.233	35.164	41.013	47.932	44.362	51.271
Tuvalu	0.011	0.014	0.013	0.016	0.018	0.022	0.022	0.023	0.027	0.031	0.028	0.032	0.039	0.04	0.038	0.038	0.034	0.035
